Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,"7,822",5,"8,064",17,3,1,810,0,"6,853",5,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,"4,874",4,"5,064",16,2,1,287,0,"4,484",4,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,934,0,969,0,4,,121,0,796,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,"1,429",0,"1,442",0,6,,286,0,"1,124",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Negative effects on civic discourse or elections.,585,1,589,1,4,358,116,0,449,1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,"67,611",70,"149,625",222,3,6,"10,523",19,"52,941",48,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,"24,617",48,"22,876",180,3,6,"7,719",15,"13,608",33,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"37,533",9,"118,153",19,3,41,"1,822",4,"35,131",5,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,880,3,"1,496",5,2,3,118,0,697,2,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,"1,624",5,"1,589",9,3,5,271,0,"1,244",3,,,,,,,,,,
