Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,TikTok,2025-07-01/2025-12-31,Category 4f,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 4h,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,753346,769361,580216,,,,,,173079,,,,51,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5b,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5e,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Privacy and Security - Personal Information.",753346,769361,580216,,,,,,173079,,,,51,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,16743696,16878020,15976808,,,,,,382477,,,,384411,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6a,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6b,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider violations of the following policies: Safety and Civility - Hate Speech and Hateful Behavior.",16743696,16878020,15976808,,,,,,382477,,,,384411,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,140158,78129,140158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
