Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,TikTok,2025-07-01/2025-12-31,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,0,0,,0,1831,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation.",TOTAL,0,0,,0,379,,170,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6b,KEYWORD_DISCRIMINATION,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech.",TOTAL,0,0,,0,1452,,101,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6d,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,,,,,86,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",TOTAL,,,,,86,,252,,,,,,,
