Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
All,TikTok,2025-07-01/2025-12-31,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,113033,14,49613,13,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5b,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 5e,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal privacy- related violations.",113033,14,49613,13,13.15,191.1,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,85101,94,44491,87,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6a,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6b,KEYWORD_DISCRIMINATION,"Under this category, we consider user or trusted flaggers report for the following reason: Defamation.",28552,17,14363,13,6.47,10.88,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal hate speech.",56549,77,30128,74,3.05,1.02,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 6d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 7g,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8b,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,77123,32,33910,26,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider user or trusted flaggers report for the following reason: Child sexual exploitation.",77123,32,33910,26,6.58,1.6,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9f,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,127855,12,58240,12,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider user or trusted flaggers report for the following reason: Content relating to violent or organised crime.",34481,8,14301,8,2.4,0.42,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider user or trusted flaggers report for the following reason: Consumer- related offences.",77729,4,35606,4,6.82,0.03,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10e,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: National security-related offences.",15645,0,8333,0,2.75,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,71632,0,23189,0,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11e,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11f,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11g,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Financial crime.",71632,0,23189,0,4.35,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12b,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12c,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,67346,1,26318,1,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13c,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal goods / services.",67346,1,26318,1,2.43,0,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14a,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14d,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14f,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 17,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,,,,,,,,,,,,,,,,,,,,
