platform_name,mean,std,min,max,period,cv,pct_change_post_vs_pre
TikTok,5811770.6,761719.6985589324,4084292,6588889,pre,0.13106499739665092,0.09927372465212495
X,2449.7,530.4585123582552,2022,3758,pre,0.21654019363932533,0.4562716134337151
TikTok,6388726.714285715,170556.87199554534,6216863,6587615,post,0.026696535886277035,0.09927372465212495
X,3567.4285714285716,1150.0169356931021,2402,5808,post,0.322365791680751,0.4562716134337151
