automated_decision,count,share,platform_name
AUTOMATED_DECISION_FULLY,105021438,0.9597363665339266,TikTok
AUTOMATED_DECISION_NOT_AUTOMATED,4405944,0.040263633466073416,TikTok
AUTOMATED_DECISION_NOT_AUTOMATED,50930,0.9999410990909626,X
AUTOMATED_DECISION_FULLY,3,5.890090903736281e-05,X
